Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarBEAs-1951-21	54004	4552	10658	38794	0.08	0.20	0.72
coarBEAs-1952-21	71211	6055	17431	47725	0.09	0.24	0.67
coarBEAs-1953-21	85237	8495	24356	52386	0.10	0.29	0.61
coarBEAs-1954-21	53124	4641	11870	36613	0.09	0.22	0.69
coarBEAs-1955-21	42773	4030	9774	28969	0.09	0.23	0.68
coarBEAs-1956-21	44271	3907	9456	30908	0.09	0.21	0.70
coarBEAs-1957-21	22561	3005	6382	13174	0.13	0.28	0.58
coarBEAs-1958-21	25758	3094	7276	15388	0.12	0.28	0.60
coarBEAs-1959-21	53747	4303	11615	37829	0.08	0.22	0.70
coarBEAs-1960-21	26200	3330	7254	15616	0.13	0.28	0.60
coarBEAs-1961-21	33026	3957	9221	19848	0.12	0.28	0.60
coarBEAs-1962-21	21004	2834	6236	11934	0.13	0.30	0.57
coarBEAs-1963-21	42513	4425	10701	27387	0.10	0.25	0.64
coarBEAs-1964-21	121685	10608	35437	75640	0.09	0.29	0.62
coarBEAs-1965-21	109320	10726	34986	63608	0.10	0.32	0.58
coarBEAs-1966-21	39171	4236	10317	24618	0.11	0.26	0.63
coarBEAs-1967-21	27959	2224	5241	20494	0.08	0.19	0.73
coarBEAs-1968-21	39340	3920	9074	26346	0.10	0.23	0.67
coarBEAs-1969-21	40997	3949	9562	27486	0.10	0.23	0.67
coarBEAs-1970-21	30066	2618	6014	21434	0.09	0.20	0.71
coarBEAs-1971-21	45524	4360	10539	30625	0.10	0.23	0.67
coarBEAs-1972-21	25556	3659	8584	13313	0.14	0.34	0.52
coarBEAs-1973-21	24564	2622	5584	16358	0.11	0.23	0.67
coarBEAs-1974-21	20281	2942	6262	11077	0.15	0.31	0.55
coarBEAs-1975-21	26351	2843	6198	17310	0.11	0.24	0.66
coarBEAs-2026-21	71542	5657	14216	51669	0.08	0.20	0.72
coarBEAs-2027-21	117350	10787	35909	70654	0.09	0.31	0.60
coarBEAs-2028-21	34503	3985	9564	20954	0.12	0.28	0.61
coarBEAs-2029-21	36918	3675	8798	24445	0.10	0.24	0.66
coarBEAs-2030-21	39041	3514	8395	27132	0.09	0.22	0.69
coarBEAs-2031-21	39956	3994	9586	26376	0.10	0.24	0.66
coarBEAs-2032-21	44083	4655	11228	28200	0.11	0.25	0.64
coarBEAs-2033-21	35662	4309	10707	20646	0.12	0.30	0.58
coarBEAs-2034-21	42287	3811	9261	29215	0.09	0.22	0.69
coarBEAs-2035-21	43698	4689	11286	27723	0.11	0.26	0.63
coarBEAs-2036-21	37618	2747	6065	28806	0.07	0.16	0.77
coarBEAs-2037-21	53053	5204	12717	35132	0.10	0.24	0.66
coarBEAs-2038-21	88854	7838	22002	59014	0.09	0.25	0.66
coarBEAs-2039-21	183718	16657	61555	105506	0.09	0.34	0.57
coarBEAs-2040-21	34007	2443	5104	26460	0.07	0.15	0.78
coarBEAs-2041-21	55235	4983	13135	37117	0.09	0.24	0.67
coarBEAs-2042-21	50970	4575	11677	34718	0.09	0.23	0.68
coarBEAs-2043-21	45133	4109	10118	30906	0.09	0.22	0.68
coarBEAs-2044-21	33042	3927	9154	19961	0.12	0.28	0.60
coarBEAs-2045-21	47785	4265	10231	33289	0.09	0.21	0.70
coarBEAs-2046-21	39966	3520	6369	30077	0.09	0.16	0.75
coarBEAs-2047-21	45576	3452	7756	34368	0.08	0.17	0.75
coarBEAs-2048-21	55506	4370	10636	40500	0.08	0.19	0.73
coarBEAs-2049-21	45742	5770	14599	25373	0.13	0.32	0.55
coarBEAs-2050-21	164957	12738	45640	106579	0.08	0.28	0.65
coarCHIm-2426-21	18590	1965	5131	11494	0.11	0.28	0.62
coarCHIm-2427-21	29980	2712	8504	18764	0.09	0.28	0.63
coarCHIm-2428-21	31954	2848	9476	19630	0.09	0.30	0.61
coarCHIm-2429-21	28029	2973	8483	16573	0.11	0.30	0.59
coarCHIm-2430-21	27922	2965	8597	16360	0.11	0.31	0.59
coarCHIm-2431-21	27060	3118	8965	14977	0.12	0.33	0.55
coarCHIm-2432-21	20807	2277	6504	12026	0.11	0.31	0.58
coarCHIm-2433-21	21037	2488	6943	11606	0.12	0.33	0.55
coarCHIm-2434-21	22225	2574	6867	12784	0.12	0.31	0.58
coarCHIm-2435-21	22152	2568	6570	13014	0.12	0.30	0.59
coarCHIm-2436-21	23288	2425	6822	14041	0.10	0.29	0.60
coarCHIm-2437-21	17549	2075	5120	10354	0.12	0.29	0.59
coarCHIm-2438-21	17950	2013	5105	10832	0.11	0.28	0.60
coarCHIm-2439-21	29219	2736	9053	17430	0.09	0.31	0.60
coarCHIm-2440-21	55416	4811	18929	31676	0.09	0.34	0.57
coarCHIm-2441-21	31820	2496	7654	21670	0.08	0.24	0.68
coarCHIm-2442-21	28590	3028	9083	16479	0.11	0.32	0.58
coarCHIm-2443-21	29266	3251	9350	16665	0.11	0.32	0.57
coarCHIm-2444-21	23869	2346	7122	14401	0.10	0.30	0.60
coarCHIm-2445-21	21309	2194	6018	13097	0.10	0.28	0.61
coarCHIm-2446-21	24991	2365	6635	15991	0.09	0.27	0.64
