Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarBEAs-1951-21_S47_L001_R1_001	54004	4552	10658	38794	0.08	0.20	0.72
02_input_files/coarBEAs-1952-21_S48_L001_R1_001	71211	6055	17431	47725	0.09	0.24	0.67
02_input_files/coarBEAs-1953-21_S49_L001_R1_001	85237	8495	24356	52386	0.10	0.29	0.61
02_input_files/coarBEAs-1954-21_S50_L001_R1_001	53124	4641	11870	36613	0.09	0.22	0.69
02_input_files/coarBEAs-1955-21_S51_L001_R1_001	42773	4030	9774	28969	0.09	0.23	0.68
02_input_files/coarBEAs-1956-21_S52_L001_R1_001	44271	3907	9456	30908	0.09	0.21	0.70
02_input_files/coarBEAs-1957-21_S53_L001_R1_001	22561	3005	6382	13174	0.13	0.28	0.58
02_input_files/coarBEAs-1958-21_S54_L001_R1_001	25758	3094	7276	15388	0.12	0.28	0.60
02_input_files/coarBEAs-1959-21_S55_L001_R1_001	53747	4303	11615	37829	0.08	0.22	0.70
02_input_files/coarBEAs-1960-21_S56_L001_R1_001	26200	3330	7254	15616	0.13	0.28	0.60
02_input_files/coarBEAs-1961-21_S57_L001_R1_001	33026	3957	9221	19848	0.12	0.28	0.60
02_input_files/coarBEAs-1962-21_S58_L001_R1_001	21004	2834	6236	11934	0.13	0.30	0.57
02_input_files/coarBEAs-1963-21_S59_L001_R1_001	42513	4425	10701	27387	0.10	0.25	0.64
02_input_files/coarBEAs-1964-21_S60_L001_R1_001	121685	10608	35437	75640	0.09	0.29	0.62
02_input_files/coarBEAs-1965-21_S61_L001_R1_001	109320	10726	34986	63608	0.10	0.32	0.58
02_input_files/coarBEAs-1966-21_S62_L001_R1_001	39171	4236	10317	24618	0.11	0.26	0.63
02_input_files/coarBEAs-1967-21_S63_L001_R1_001	27959	2224	5241	20494	0.08	0.19	0.73
02_input_files/coarBEAs-1968-21_S64_L001_R1_001	39340	3920	9074	26346	0.10	0.23	0.67
02_input_files/coarBEAs-1969-21_S65_L001_R1_001	40997	3949	9562	27486	0.10	0.23	0.67
02_input_files/coarBEAs-1970-21_S66_L001_R1_001	30066	2618	6014	21434	0.09	0.20	0.71
02_input_files/coarBEAs-1971-21_S67_L001_R1_001	45524	4360	10539	30625	0.10	0.23	0.67
02_input_files/coarBEAs-1972-21_S68_L001_R1_001	25556	3659	8584	13313	0.14	0.34	0.52
02_input_files/coarBEAs-1973-21_S69_L001_R1_001	24564	2622	5584	16358	0.11	0.23	0.67
02_input_files/coarBEAs-1974-21_S70_L001_R1_001	20281	2942	6262	11077	0.15	0.31	0.55
02_input_files/coarBEAs-1975-21_S71_L001_R1_001	26351	2843	6198	17310	0.11	0.24	0.66
02_input_files/coarBEAs-2026-21_S72_L001_R1_001	71542	5657	14216	51669	0.08	0.20	0.72
02_input_files/coarBEAs-2027-21_S73_L001_R1_001	117350	10787	35909	70654	0.09	0.31	0.60
02_input_files/coarBEAs-2028-21_S74_L001_R1_001	34503	3985	9564	20954	0.12	0.28	0.61
02_input_files/coarBEAs-2029-21_S75_L001_R1_001	36918	3675	8798	24445	0.10	0.24	0.66
02_input_files/coarBEAs-2030-21_S76_L001_R1_001	39041	3514	8395	27132	0.09	0.22	0.69
02_input_files/coarBEAs-2031-21_S77_L001_R1_001	39956	3994	9586	26376	0.10	0.24	0.66
02_input_files/coarBEAs-2032-21_S78_L001_R1_001	44083	4655	11228	28200	0.11	0.25	0.64
02_input_files/coarBEAs-2033-21_S79_L001_R1_001	35662	4309	10707	20646	0.12	0.30	0.58
