sample_id,pop
coarLAGs_001-20,LAG
coarLAGs_002-20,LAG
coarLAGs_003-20,LAG
coarLAGs_004-20,LAG
coarLAGs_005-20,LAG
coarLAGs_006-20,LAG
coarLAGs_007-20,LAG
coarLAGs_008-20,LAG
coarLAGs_009-20,LAG
coarLAGs_010-20,LAG
coarLAGs_011-20,LAG
coarLAGs_012-20,LAG
coarLAGs_013-20,LAG
coarLAGs_014-20,LAG
coarLAGs_015-20,LAG
coarLAGs_016-20,LAG
coarLAGs_017-20,LAG
coarLAGs_018-20,LAG
coarLAGs_019-20,LAG
coarLAGs_020-20,LAG
coclLAGs_021_20,LAG
coarLAGs_031-20,LAG
coarLAGs_032-20,LAG
coarLAGs_033-20,LAG
coarLAGs_034-20,LAG
coarLAGs_035-20,LAG
coarLAGs_036-20,LAG
coarLAGs_037-20,LAG
coarLAGs_038-20,LAG
coarLAGs_039-20,LAG
coarLAGs_040-20,LAG
coarNOTs_001-20,NOT_fall
coarNOTs_002-20,NOT_fall
coarNOTs_003-20,NOT_fall
coarNOTs_004-20,NOT_fall
coarNOTs_005-20,NOT_fall
coarNOTs_006-20,NOT_fall
coarNOTs_007-20,NOT_fall
coarNOTs_008-20,NOT_fall
coarNOTs_009-20,NOT_fall
coarNOTs_010-20,NOT_fall
coarNOTs_011-20,NOT_fall
coarNOTs_012-20,NOT_fall
coarNOTs_013-20,NOT_fall
coarNOTs_014-20,NOT_fall
coarNOTs_015-20,NOT_fall
coarNOTs_016-20,NOT_fall
coarNOTs_017-20,NOT_fall
coarNOTs_018-20,NOT_fall
coarNOTs_019-20,NOT_fall
coarNOTs_020-20,NOT_fall
coarNOTs_021-20,NOT_fall
coarNOTs_022-20,NOT_fall
coarNOTs_023-20,NOT_fall
coarNOTs_024-20,NOT_fall
coarNOTs_025-20,NOT_fall
coarNOTs_026-20,NOT_fall
coarNOTs_027-20,NOT_fall
coarNOTs_028-20,NOT_fall
coarNOTs_029-20,NOT_fall
coarNOTs_030-20,NOT_fall
coarNOTs_031-20,NOT_fall
coarNOTs_032-20,NOT_fall
coarNOTs_033-20,NOT_fall
coarNOTs_034-20,NOT_fall
coarNOTs_035-20,NOT_fall
coarNOTs_036-20,NOT_fall
coarNOTs_037-20,NOT_fall
coarNOTs_038-20,NOT_fall
coarNOTs_039-20,NOT_fall
coarNOTs_040-20,NOT_fall
coarRUPs_001-20,RUP
coarRUPs_002-20,RUP
coarRUPs_003-20,RUP
coarRUPs_004-20,RUP
coarRUPs_005-20,RUP
coarRUPs_006-20,RUP
coarRUPs_007-20,RUP
coarRUPs_008-20,RUP
coarRUPs_009-20,RUP
coarRUPs_010-20,RUP
coarRUPs_011-20,RUP
coarRUPs_012-20,RUP
coarRUPs_013-20,RUP
coarRUPs_014-20,RUP
coarRUPs_015-20,RUP
coarRUPs_016-20,RUP
coarRUPs_017-20,RUP
coarRUPs_018-20,RUP
coarRUPs_019-20,RUP
coarRUPs_020-20,RUP
coarRUPs_021-20,RUP
coarRUPs_022-20,RUP
coarRUPs_023-20,RUP
coarRUPs_024-20,RUP
coarRUPs_025-20,RUP
coarRUPs_026-20,RUP
coarRUPs_027-20,RUP
coarRUPs_028-20,RUP
coarRUPs_029-20,RUP
coarRUPs_030-20,RUP
coarRUPs_031-20,RUP
coarRUPs_032-20,RUP
coarRUPs_033-20,RUP
coarRUPs_034-20,RUP
coarRUPs_035-20,RUP
coarRUPs_036-20,RUP
coarRUPs_037-20,RUP
coarRUPs_038-20,RUP
coarRUPs_039-20,RUP
coarRUPs_040-20,RUP
coarRUPs_041-20,RUP
coarRUPs_042-20,RUP
coarRUPs_043-20,RUP
coarRUPs_044-20,RUP
coarRUPs_045-20,RUP
coarRUPs_046-20,RUP
coarRUPs_047-20,RUP
coarRUPs_048-20,RUP
coarRUPs_049-20,RUP
coarRUPs_050-20,RUP
coarRUPs_051-20,RUP
coarRUPs_052-20,RUP
coarRUPs_053-20,RUP
coarRUPs_054-20,RUP
coarRUPs_055-20,RUP
coarRUPs_056-20,RUP
coarRUPs_057-20,RUP
coarRUPs_058-20,RUP
coarRUPs_059-20,RUP
coarRUPs_060-20,RUP
coarRUPs_061-20,RUP
coarRUPs_062-20,RUP
coarRUPs_063-20,RUP
coarRUPs_064-20,RUP
coarRUPs_065-20,RUP
coarRUPs_066-20,RUP
coarRUPs_067-20,RUP
coarRUPs_068-20,RUP
coarRUPs_069-20,RUP
coarRUPs_070-20,RUP
coarRUPs_071-20,RUP
coarRUPs_072-20,RUP
coarRUPs_073-20,RUP
coarRUPs_074-20,RUP
coarRUPs_075-20,RUP
coarRUPs_076-20,RUP
