indiv collection
coarEASs_578_21 V2
coarEASs_580_22 NA
coarEASs_597_21 V2
coarEASs_598_21 V2
coarEASs_620_21 V2
coarEASs_622_21 V2
coarEASs_623_21 V2
coarEASs_626_21 V2
coarEASs_627_21 V2
coarEASs_662_21 V2
coarEASs_665_21 V2
coarEASs_666_21 V2
coarEASs_667_21 V2
coarEASs_668_21 V2
coarEASs_669_21 V2
coarEASs_751_21 V2
coarEASs_752_21 V2
coarEASs_753_21 V2
coarEASs_754_21 V2
coarEASs_755_21 V2
coarEASs_757_21 V2
coarEASs_758_21 V2
coarEASs_759_21 V2
coarEASs_760_21 V2
coarEASs_762_21 V2
coarEASs_763_21 V2
coarEASs_764_21 V2
coarEASs_767_21 V2
coarEASs_769_21 V2
coarLAGs_004_20 V1
coarLAGs_006_20 V1
coarLAGs_007_20 V1
coarLAGs_008_20 V1
coarLAGs_009_20 V1
coarLAGs_010_20 V1
coarLAGs_013_20 V1
coarLAGs_014_20 V1
coarLAGs_015_20 V1
coarLAGs_016_20 V1
coarLAGs_017_20 V1
coarLAGs_018_20 V1
coarLAGs_019_20 V1
coarLAGs_032_20 V1
coarLAGs_034_20 V1
coarLAGs_035_20 V1
coarLAGs_037_20 V1
coarLAGs_038_20 V1
coarNOTs_7501_21 V3
coarNOTs_7502_21 V3
coarNOTs_7504_21 V3
coarNOTs_7523_21 V3
coarNOTs_7525_21 V3
coarNOTs_7528_21 V3
coarNOTs_7530_21 V3
coarNOTs_7534_21 V3
coarNOTs_7538_21 V3
coarNOTs_7539_21 V3
coarNOTs_7540_21 V3
coarNOTs_7543_21 V3
coarNOTs_7544_21 V3
coarNOTs_7548_21 V3
coarNOTs_7549_21 V3
coarNOTs_7550_21 V3
coarNOTs_7552_21 V3
coarNOTs_7556_21 V3
coarNOTs_7559_21 V3
coarNOTs_7565_21 V3
coarNOTs_7567_21 V3
coarNOTs_7568_21 V3
coarNOTs_7702_21 V2
coarNOTs_7703_21 V2
coarNOTs_7706_21 V2
coarNOTs_7707_21 V3
coarNOTs_7708_21 V2
coarNOTs_7710_21 V2
coarNOTs_7712_21 V2
coarNOTs_7714_21 V2
coarNOTs_7715_21 V2
coarNOTs_7717_21 V2
coarNOTs_7718_21 V2
coarNOTs_7720_21 V2
coarNOTs_7724_21 V2
coarNOTs_7725_21 V3
coarNOTs_7726_21 V2
coarNOTs_7729_21 V2
coarNOTs_7731_21 V2
coarNOTs_7732_21 V2
