n,Id,fishes_id,tot_length,fork_length,mass,Sex,egg_dev,Pop,date_capture,age,confiance,1_um,2_um,3_um,4_um,5_um,6_um,7_um,8_um,9_um
1,NOT_1EARLY,coarNOTs_7501-21,389,358,548,M,3,NOT_summer,august,6,2,610.5393,891.3335,1106.1229,1290.4367,1467.6443,1561.2411,1608.7813,,
2,NOT_2EARLY,coarNOTs_7502-21,368,335,440,M,3,NOT_summer,august,5,2,681.768,1033.473,1240.831,1402.2084,1546.2035,1685.9455,,,
3,NOT_3EARLY,coarNOTs_7503-21,405,368,648,M,3,NOT_summer,august,5,2,794.8543,1077.1178,1242.7185,1376.6649,1545.1392,1658.9774,,,
4,NOT_4EARLY,coarNOTs_7504-21,388,355,575,M,3,NOT_summer,august,5,1,768.7088,1143.099,1397.331,1499.8207,1663.9751,1805.2078,,,
5,NOT_5EARLY,coarNOTs_7505-21,390,357,506,M,3,NOT_summer,august,4,2,739.7175,1077.3086,1445.1816,1645.9606,1748.2377,,,,
6,NOT_6EARLY,coarNOTs_7506-21,379,357,588,,,NOT_summer,august,6,1,758.9951,1105.4971,1236.8803,1395.6934,1492.4382,1584.2908,1677.7991,,
7,NOT_10EARLY,coarNOTs_7510-21,382,347,487,M,3,NOT_summer,august,4,1,783.6313,1113.6064,1285.8296,1478.2557,1569.5311,,,,
8,NOT_11EARLY,coarNOTs_7511-21,331,300,231,,,NOT_summer,august,5,1,573.8906,918.8604,1203.4066,1330.6448,1450.7146,1585.1246,,,
9,NOT_12EARLY,coarNOTs_7512-21,375,344,434,M,3,NOT_summer,august,5,1,818.8157,1104.3656,1362.6032,1473.0297,1609.1489,1711.8811,,,
10,NOT_13EARLY,coarNOTs_7513-21,402,368,526,M,3,NOT_summer,august,6,2,776.0856,1031.753,1344.7826,1550.741,1633.2088,1726.0829,1811.4782,,
11,NOT_14EARLY,coarNOTs_7514-21,408,370,506,M,2,NOT_summer,august,6,2,787.7361,1131.2181,1408.647,1583.2377,1673.4159,1739.9971,1826.6338,,
12,NOT_15EARLY,coarNOTs_7515-21,392,357,434,F,3,NOT_summer,august,4,1,766.9467,1065.6976,1298.9741,1504.4385,1606.0647,,,,
13,NOT_16EARLY,coarNOTs_7516-21,384,353,435,M,2,NOT_summer,august,5,2,747.8532,1188.2867,1452.2673,1670.6234,1768.3164,1852.8863,,,
14,NOT_17EARLY,coarNOTs_7517-21,375,352,524,M,3,NOT_summer,august,5,2,741.9536,1144.7495,1438.6575,1574.1063,1723.1301,1870.0242,,,
15,NOT_18EARLY,coarNOTs_7518-21,375,340,489,F,3,NOT_summer,august,5,1,850.1092,1211.5399,1456.8436,1567.5794,1674.2234,1789.7431,,,
16,NOT_19EARLY,coarNOTs_7519-21,394,362,584,F,3,NOT_summer,august,6,1,746.9073,922.7288,1121.6976,1312.0382,1436.5836,1517.2723,1635.401,,
17,NOT_20EARLY,coarNOTs_7520-21,401,365,637,M,3,NOT_summer,august,6,1,894.6837,1272.9363,1465.9559,1762.6752,1866.0411,1983.3185,2035.7666,,
18,NOT_21EARLY,coarNOTs_7521-21,467,427,1000,M,3,NOT_summer,august,8,1,756.0417,1031.6146,1266.6842,1410.7944,1524.8782,1660.3025,1715.1342,1776.1582,1834.133
19,NOT_22EARLY,coarNOTs_7522-21,375,346,496,F,3,NOT_summer,august,5,1,812.6973,1170.3077,1430.5513,1565.9509,1663.8497,1784.9548,,,
20,NOT_23EARLY,coarNOTs_7523-21,429,386,752,F,3,NOT_summer,august,7,2,747.1852,1039.2566,1315.096,1542.0157,1644.4966,1726.3764,1811.4883,1843.4634,
21,NOT_24EARLY,coarNOTs_7524-21,425,392,879,F,3,NOT_summer,august,6,2,646.0827,884.0279,1097.4517,1350.1826,1489.3224,1613.1917,1735.596,,
22,NOT_25EARLY,coarNOTs_7525-21,379,348,580,F,3,NOT_summer,august,4,1,559.2848,998.9054,1213.6644,1408.2921,1573.9476,,,,
23,NOT_26EARLY,coarNOTs_7526-21,422,382,699,F,3,NOT_summer,august,4,1,831.876,1213.1955,1438.1029,1530.381,1638.8512,,,,
24,NOT_27EARLY,coarNOTs_7527-21,405,373,688,M,3,NOT_summer,august,5,1,673.3911,1023.3785,1244.5658,1407.3221,1529.7531,1600.3408,,,
25,NOT_28EARLY,coarNOTs_7528-21,393,359,571,F,3,NOT_summer,august,6,1,612.602,1028.8485,1184.9363,1303.5988,1381.5862,1453.6138,1555.8726,,
26,NOT_29EARLY,coarNOTs_7529-21,386,354,568,M,3,NOT_summer,august,5,1,829.5955,1174.552,1370.4916,1497.2997,1612.8781,1714.3894,,,
27,NOT_30EARLY,coarNOTs_7530-21,366,336,502,M,3,NOT_summer,august,5,2,613.5698,829.8088,1145.6202,1362.4088,1563.1816,1622.3395,,,
28,NOT_31EARLY,coarNOTs_7531-21,397,364,566,M,3,NOT_summer,august,5,1,798.0367,1093.3226,1312.2618,1522.7031,1609.3108,1703.8211,,,
29,NOT_32EARLY,coarNOTs_7532-21,377,343,501,F,3,NOT_summer,august,5,1,809.4215,1283.6787,1480.5314,1567.8209,1645.779,1747.2903,,,
30,NOT_33EARLY,coarNOTs_7533-21,384,353,554,F,4,NOT_summer,august,5,1,718.0452,1098.6767,1371.4856,1490.5076,1609.1064,1700.6693,,,
31,NOT_34EARLY,coarNOTs_7534-21,412,375,750,F,3,NOT_summer,august,6,3,711.7371,961.8627,1091.5265,1258.9569,1391.7505,1478.8359,1600.9106,,
32,NOT_35EARLY,coarNOTs_7535-21,403,369,654,R,3,NOT_summer,august,6,1,648.8309,1020.5197,1216.7344,1429.9714,1552.1819,1660.2017,1768.1735,,
33,NOT_36EARLY,coarNOTs_7536-21,411,376,661,F,3,NOT_summer,august,5,1,869.7424,1182.9104,1454.6297,1594.2103,1689.6979,1807.1035,,,
34,NOT_37EARLY,coarNOTs_7537-21,371,338,476,M,3,NOT_summer,august,5,1,888.0124,1193.2883,1502.9742,1628.7205,1748.2904,1812.4761,,,
35,NOT_38EARLY,coarNOTs_7538-21,368,338,447,M,3,NOT_summer,august,5,1,695.9282,1082.373,1337.6293,1471.9528,1580.0111,1671.3062,,,
