"sample_id" "FISHES_id" "long_tot" "long_fourche" "mass" "sex" "egg_dvpment" "pop" "ecotype" "true_eco" "genotype" "STL" "MXL" "MDL" "POL" "OOL" "PSL" "TTL" "DOL" "LUL" "ANL" "CPL" "CPD" "PCL" "PVL" "BDD" "HDD" "AMO" "HEA" "lower_gill_raker" "upper_gill_raker" "middle_gill_raker_length" "data.sample_id" "pc1_geomorph" "true_age" "confiance" "X1_um" "X2_um" "X3_um" "X4_um" "X5_um" "X6_um" "X7_um" "X8_um" "X9_um" "infered_age" "MXL_res" "MDL_res" "POL_res" "OOL_res" "PSL_res" "TTL_res" "DOL_res" "LUL_res" "ANL_res" "CPL_res" "CPD_res" "PCL_res" "PVL_res" "BDD_res" "HDD_res" "AMO_res" "HEA_res" "gill_raker_count"
"1" "NOT_1EARLY" "coarNOTs_7501-21" 389 358 548 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.9 2.15 3.11 1.27 1.37 3.68 10.46 3.9 8.34 3.63 2.29 4.48 4.59 3.66 7.48 3.17 64.38 5.41 26 16 57 "NOT_1EARLY" 0.00017 6 2 610.5393 891.3335 1106.1229 1290.4367 1467.6443 1561.2411 1608.7813 NA NA 6 0.687433940171684 -0.0635748744548428 -1.491169748873 0.887196735589311 -1.28834445212642 0.319519665115071 0.0841316428288723 0.404169924240649 0.842945646251102 -2.08472429893086 0.16336788940941 0.0453572824258813 -0.987706917301177 -0.171069013785153 0.469021474880783 0.413120319055303 2.87692017015167 42
"2" "NOT_2EARLY" "coarNOTs_7502-21" 368 335 440 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 30.56 2.06 3.1 1.31 1.45 3.65 9.27 3.88 7.36 3.46 2.34 4.51 4.23 4.08 6.65 2.89 57.6 4.41 26 15 60 "NOT_2EARLY" 0.000308 5 2 681.768 1033.473 1240.831 1402.2084 1546.2035 1685.9455 NA NA NA 5 0.584719501619952 0.489160792775351 -0.793915286063352 2.09828504220849 -0.166909282668817 -0.637295998310399 0.956994121278413 -1.08281362941463 1.18930219255316 -0.314181095396051 1.27806219183952 -0.342681399466605 0.784064954924532 -1.13258909358032 -0.368320484052563 -0.485709684902089 -0.358412249042559 41
"3" "NOT_3EARLY" "coarNOTs_7503-21" 405 368 648 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.24 2.07 3.17 1.52 1.32 4.34 10.24 3.7 8.69 3.53 2.6 4.33 4.71 4.36 7.96 3.18 71.56 5.12 26 16 53 "NOT_3EARLY" -0.00605316 5 2 794.8543 1077.1178 1242.7185 1376.6649 1545.1392 1658.9774 NA NA NA 5 -0.0120017129937276 -0.0483907900149761 0.124088819936703 0.191893803249186 1.23083135010246 -0.930300176081128 -1.07214199245337 0.81268561870914 0.0159920090563164 -0.287288220884917 -0.828443915641117 0.090909503718547 0.875161114040589 0.538616759986315 0.135850185162656 1.41815304101873 1.1658243589112 42
"4" "NOT_4EARLY" "coarNOTs_7504-21" 388 355 575 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.45 2.09 3.75 1.62 1.31 4.14 10.13 3.93 8.13 3.57 2.76 4.2 4.78 4 7.51 3.39 56.9 4.96 27 16 66 "NOT_4EARLY" -0.013570187 5 1 768.7088 1143.099 1397.331 1499.8207 1663.9751 1805.2078 NA NA NA 5 0.372870863941046 2.95878520219408 1.07119513104054 0.273478842141263 1.01148966804692 -0.199954047475997 0.319001880183628 -0.050224317287608 0.741308218278489 1.73231686530431 -0.735401313939704 0.796942942508511 0.0942298294994894 0.0388760710957174 1.96091419770031 -0.655868208323909 1.07838241343364 43
"5" "NOT_5EARLY" "coarNOTs_7505-21" 390 357 506 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.78 2.1 3.05 1.37 1.2 3.98 10.46 3.99 7.97 3.24 2.48 4.32 4.22 3.9 6.83 2.86 68.54 5.12 29 18 58 "NOT_5EARLY" -0.012133527 4 2 739.7175 1077.3086 1445.1816 1645.9606 1748.2377 NA NA NA NA 4 0.395359306437925 -0.3135824360512 -0.756245015478205 -0.961743515242917 0.159435925918522 0.394579677528364 0.458916380765579 -0.696790690199685 -0.626969727373889 -0.554010893858635 -0.38164743960078 -1.17173277300441 -0.2492347308105 -1.70352559713812 -1.42737510150506 1.016749549817 1.6745316589898 47
"6" "NOT_6EARLY" "coarNOTs_7506-21" 379 357 588 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.78 1.95 2.83 1.41 1.22 3.55 10.53 3.67 8.21 3.45 2.51 4.12 4.56 4.13 7.48 2.83 52.62 4.82 26 15 52 "NOT_6EARLY" -0.01275176 6 1 758.9951 1105.4971 1236.8803 1395.6934 1492.4382 1584.2908 1677.7991 NA NA 6 -0.540550475992202 -1.3259511276837 -0.469480154507759 -0.742504118563469 -1.83686951401548 0.552573811978156 -0.726961578183378 0.0627644358300849 0.188068806191073 -0.321867213099042 -1.11762689495484 -0.0201524280726222 0.436593927360718 -0.12534313222999 -1.61472022853973 -1.28051094955369 0.383111146010117 41
"7" "NOT_7EARLY" "coarNOTs_7507-21" 380 343 446 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 31.18 1.81 2.74 1.39 1.14 3.6 9.52 4.15 8.08 3.57 2.25 3.97 4.08 3.84 7 2.71 57.34 4.51 21 17 56 "NOT_7EARLY" 0.005413019 NA NA NA NA NA NA NA NA NA NA NA 5 -1.13182260910028 -1.3724682230374 -0.363628705386312 -1.41044054706231 -0.836209703159408 -0.674223182126293 1.62670461071503 0.631454074683511 1.26573512495884 -1.48953443595053 -1.05455203677801 -1.13833751581442 -0.110782492463416 -0.649844132232014 -1.80665357356799 -0.550658101984348 -0.300081257675862 38
"8" "NOT_8EARLY" "coarNOTs_7508-21" 387 353 536 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.14 2.11 3.34 1.87 1.25 3.83 9.86 3.29 8.28 3.18 2.44 4.43 4.56 3.77 7.39 3.15 62.71 4.85 25 16 47 "NOT_8EARLY" -0.003062986 NA NA NA NA NA NA NA NA NA NA NA 6 0.537468883656424 1.12452060379745 2.89750511799181 -0.354430331842654 -0.317601152548211 -0.658778705702217 -1.96886239903418 0.564304186377331 -0.683913391528368 -0.622699964699713 0.198201584165009 0.124201608491498 -0.545913692200614 -0.16097341379452 0.541621176351584 0.189004628510232 0.697735443033219 41
"9" "NOT_9EARLY" "coarNOTs_7509-21" 401 367 474 "F" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 33.47 1.98 3.08 1.39 1.24 4.14 10.36 4.47 8.52 3.65 2.79 5.05 4.67 4.06 8.12 3.06 68.91 4.7 NA NA NA "NOT_9EARLY" 8.3e-05 NA NA NA NA NA NA NA NA NA NA NA 5 -0.554607815593155 -0.437220122308781 -0.791988219281157 -0.672074965330061 0.35508266989791 -0.583435346918717 1.82865174099086 0.343639303871342 0.52661101628446 1.24617508781924 1.87042549961997 -0.008680976074665 0.00132076727382958 0.973527913847726 -0.575389169478051 1.03808775097443 -0.599455346833599 NA
"10" "NOT_10EARLY" "coarNOTs_7510-21" 382 347 487 "M" 3 "NOT_summer" "summer_run" "summer_run" "NOT_summer" 32.27 2.04 2.97 1.46 1.35 4 9.85 3.79 8.59 3.16 2.61 4.91 4.26 3.86 8.13 2.96 41.17 4.99 26 15 55 "NOT_10EARLY" 0.013629362 4 1 783.6313 1113.6064 1285.8296 1478.2557 1569.5311 NA NA NA NA 4 0.220823020505384 -0.420304325471393 0.0664362081659633 0.828861090251998 0.799031323462829 -0.230750149529646 0.130269922901989 1.9635272495132 -0.498029128498494 1.05156931780942 2.22432350121677 -0.674221774540049 -0.14176430905573 1.9071172396155 -0.406479226583087 -2.89455959365882 1.57750306444722 41
