community,river.name,sample_number,species,date,latitude,longitude,fishes_id,stock_clean,species_clean
Eastmain,EastmainRiver,M1,Cisco,22-07-2020,52.288,-78.565933,coarEASm_001-20,Mixed,Cisco
Eastmain,EastmainRiver,M2,Cisco,22-07-2020,52.288,-78.565933,coarEASm_002-20,Mixed,Cisco
Eastmain,EastmainRiver,M3,Cisco,22-07-2020,52.288,-78.565933,coarEASm_003-20,Mixed,Cisco
Eastmain,EastmainRiver,M4,Cisco,22-07-2020,52.288,-78.565933,coarEASm_004-20,Mixed,Cisco
Eastmain,EastmainRiver,M5,Cisco,22-07-2020,52.288,-78.565933,coarEASm_005-20,Mixed,Cisco
Chisasibi,LaGrande,S1,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_001-20,Source,Cisco
Chisasibi,LaGrande,S2,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_002-20,Source,Cisco
Chisasibi,LaGrande,S3,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_003-20,Source,Cisco
Chisasibi,LaGrande,S4,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_004-20,Source,Cisco
Chisasibi,LaGrande,S5,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_005-20,Source,Cisco
Chisasibi,LaGrande,S6,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_006-20,Source,Cisco
Chisasibi,LaGrande,S7,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_007-20,Source,Cisco
Chisasibi,LaGrande,S8,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_008-20,Source,Cisco
Chisasibi,LaGrande,S9,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_009-20,Source,Cisco
Chisasibi,LaGrande,S10,Cisco,17-10-2020,53.8295,-78.927617,coarLAGs_010-20,Source,Cisco
Chisasibi,LaGrande,S11,Cisco,18-10-2020,53.8295,-78.927617,coarLAGs_011-20,Source,Cisco
Chisasibi,LaGrande,S12,Cisco,18-10-2020,53.8295,-78.927617,coarLAGs_012-20,Source,Cisco
Chisasibi,LaGrande,S13,Cisco,18-10-2020,53.8295,-78.927617,coarLAGs_013-20,Source,Cisco
Chisasibi,LaGrande,S14,Cisco,18-10-2020,53.8295,-78.927617,coarLAGs_014-20,Source,Cisco
Chisasibi,LaGrande,S15,Cisco,18-10-2020,53.8295,-78.927617,coarLAGs_015-20,Source,Cisco
Chisasibi,LaGrande,S16,Cisco,19-10-2020,53.8295,-78.927617,coarLAGs_016-20,Source,Cisco
Chisasibi,LaGrande,S17,Cisco,19-10-2020,53.8295,-78.927617,coarLAGs_017-20,Source,Cisco
Chisasibi,LaGrande,S18,Cisco,19-10-2020,53.8295,-78.927617,coarLAGs_018-20,Source,Cisco
Chisasibi,LaGrande,S19,Cisco,19-10-2020,53.8295,-78.927617,coarLAGs_019-20,Source,Cisco
Chisasibi,LaGrande,S20,Cisco,19-10-2020,53.8295,-78.927617,coarLAGs_020-20,Source,Cisco
Chisasibi,LaGrande,S31,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_031-20,Source,Cisco
Chisasibi,LaGrande,S32,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_032-20,Source,Cisco
Chisasibi,LaGrande,S33,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_033-20,Source,Cisco
Chisasibi,LaGrande,S34,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_034-20,Source,Cisco
Chisasibi,LaGrande,S35,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_035-20,Source,Cisco
Chisasibi,LaGrande,S36,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_036-20,Source,Cisco
Chisasibi,LaGrande,S37,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_037-20,Source,Cisco
Chisasibi,LaGrande,S38,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_038-20,Source,Cisco
Chisasibi,LaGrande,S39,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_039-20,Source,Cisco
Chisasibi,LaGrande,S40,Cisco,20-10-2020,53.8294,-78.927671,coarLAGs_040-20,Source,Cisco
Wemindji,AahchikukinMinistikush,M2,Cisco,09-07-2021,52.867417,-78.890285,coarWEMm_002-21,Mixed,Cisco
Wemindji,AahchikukinMinistikush,M3,Cisco,09-07-2021,52.867417,-78.890285,coarWEMm_003-21,Mixed,Cisco
Wemindji,FlipIsland,M43,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_043-21,Mixed,Cisco
Wemindji,FlipIsland,M44,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_044-21,Mixed,Cisco
Wemindji,FlipIsland,M45,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_045-21,Mixed,Cisco
Wemindji,FlipIsland,M46,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_046-21,Mixed,Cisco
Wemindji,FlipIsland,M47,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_047-21,Mixed,Cisco
Wemindji,FlipIsland,M48,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_048-21,Mixed,Cisco
Wemindji,FlipIsland,M49,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_049-21,Mixed,Cisco
Wemindji,FlipIsland,M50,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_050-21,Mixed,Cisco
Wemindji,FlipIsland,M51,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_051-21,Mixed,Cisco
Wemindji,FlipIsland,M52,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_052-21,Mixed,Cisco
Wemindji,FlipIsland,M53,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_053-21,Mixed,Cisco
Wemindji,FlipIsland,M54,Cisco,26-08-2021,52.884665,-78.889472,coarWEMm_054-21,Mixed,Cisco
Wemindji,FlipIsland,M55,Cisco,26-08-2021,52.893568,-78.891373,coarWEMm_055-21,Mixed,Cisco
Wemindji,FlyIsland,M5,Cisco,26-08-2021,52.893568,-78.891373,coarWEMm_005-21,Mixed,Cisco
Wemindji,FlyIsland,M6,Cisco,26-08-2021,52.893568,-78.891373,coarWEMm_006-21,Mixed,Cisco
Wemindji,FlyIsland,M7,Cisco,26-08-2021,52.893568,-78.891373,coarWEMm_007-21,Mixed,Cisco
Waskaganish,NottawayRiver,S1,Cisco,02-09-2020,51.1687,-78.894282,coarNOTs_1-20,Source,Cisco
