Community,river_name,sample_n,species,date,length,lat,long,stock,FISHES_ID
Chisasibi,LaGrande,S21,Whitefish,20-10-2020,283,53.839,-78.947616,Source,coclLAGs_021-20
Chisasibi,LaGrande,S21,Whitefish,20-10-2020,283,53.839,-78.947616,Source,coclLAGs_021-20
Chisasibi,LaGrande,S21,Whitefish,20-10-2020,283,53.839,-78.947616,Source,coclLAGs_021-20
Chisasibi,LaGrande,S21,Whitefish,20-10-2020,283,53.839,-78.947616,Source,coclLAGs_021-20
Chisasibi,Aquatuc,S20,Trout,21-03-2021,210,53.6744,-78.9926,Source,safoAQUs_020-21
Chisasibi,Aquatuc,S21,Trout,21-03-2021,290,53.6744,-78.9926,Source,safoAQUs_021-21
Chisasibi,Aquatuc,S22,Trout,21-03-2021,185,53.6744,-78.9926,Source,safoAQUs_022-21
Chisasibi,Aquatuc,S23,Trout,21-03-2021,270,53.6744,-78.9926,Source,safoAQUs_023-21
Chisasibi,Aquatuc,S24,Trout,24-03-2021,205,53.6744,-78.9926,Source,safoAQUs_024-21
Chisasibi,Aquatuc,S25,Trout,24-03-2021,210,53.6744,-78.9926,Source,safoAQUs_025-21
Chisasibi,Aquatuc,S26,Trout,24-03-2021,190,53.6744,-78.9926,Source,safoAQUs_026-21
Chisasibi,Aquatuc,S27,Trout,24-03-2021,195,53.6744,-78.9926,Source,safoAQUs_027-21
Chisasibi,Aquatuc,S28,Trout,24-03-2021,290,53.6744,-78.9926,Source,safoAQUs_028-21
Chisasibi,Aquatuc,S29,Trout,02-04-2021,405,53.6744,-78.9926,Source,safoAQUs_029-21
Chisasibi,Aquatuc,S30,Trout,02-04-2021,335,53.6744,-78.9926,Source,safoAQUs_030-21
Chisasibi,Aquatuc,S31,Trout,02-04-2021,375,53.6744,-78.9926,Source,safoAQUs_031-21
Chisasibi,Aquatuc,S32,Trout,02-04-2021,330,53.6744,-78.9926,Source,safoAQUs_032-21
Chisasibi,Aquatuc,S33,Trout,02-04-2021,315,53.6744,-78.9926,Source,safoAQUs_033-21
Chisasibi,Aquatuc,S34,Trout,02-04-2021,320,53.6744,-78.9926,Source,safoAQUs_034-21
Chisasibi,Aquatuc,S35,Trout,02-04-2021,320,53.6744,-78.9926,Source,safoAQUs_035-21
Chisasibi,Aquatuc,S36,Trout,02-04-2021,305,53.6744,-78.9926,Source,safoAQUs_036-21
Chisasibi,Aquatuc,S37,Trout,02-04-2021,350,53.6744,-78.9926,Source,safoAQUs_037-21
Chisasibi,Aquatuc,S38,Trout,02-04-2021,300,53.6744,-78.9926,Source,safoAQUs_038-21
Chisasibi,Aquatuc,S39,Trout,02-04-2021,310,53.6744,-78.9926,Source,safoAQUs_039-21
Chisasibi,Aquatuc,S40,Trout,02-04-2021,310,53.6744,-78.9926,Source,safoAQUs_040-21
Chisasibi,BeaverRiver,S1,Trout,27-03-2021,368,53.394853,-78.944386,Source,safoBEAs_001-21
Chisasibi,BeaverRiver,S2,Trout,27-03-2021,343,53.394853,-78.944386,Source,safoBEAs_002-21
Chisasibi,BeaverRiver,S3,Trout,27-03-2021,394,53.394853,-78.944386,Source,safoBEAs_003-21
Chisasibi,BeaverRiver,S4,Trout,28-03-2021,457,53.394853,-78.944386,Source,safoBEAs_004-21
Chisasibi,BeaverRiver,S5,Trout,28-03-2021,356,53.394853,-78.944386,Source,safoBEAs_005-21
Chisasibi,BeaverRiver,S6,Trout,02-04-2021,381,53.394853,-78.944386,Source,safoBEAs_006-21
Chisasibi,BeaverRiver,S7,Trout,02-04-2021,356,53.394853,-78.944386,Source,safoBEAs_007-21
Chisasibi,BeaverRiver,S8,Trout,02-04-2021,483,53.394853,-78.944386,Source,safoBEAs_008-21
Chisasibi,BeaverRiver,S9,Trout,02-04-2021,445,53.394853,-78.944386,Source,safoBEAs_009-21
Chisasibi,BeaverRiver,S10,Trout,02-04-2021,381,53.394853,-78.944386,Source,safoBEAs_010-21
Chisasibi,BeaverRiver,S11,Trout,02-04-2021,368,53.394853,-78.944386,Source,safoBEAs_011-21
Chisasibi,BeaverRiver,S12,Trout,02-04-2021,521,53.394853,-78.944386,Source,safoBEAs_012-21
Chisasibi,BeaverRiver,S13,Trout,02-04-2021,445,53.394853,-78.944386,Source,safoBEAs_013-21
Chisasibi,BeaverRiver,S14,Trout,02-04-2021,457,53.394853,-78.944386,Source,safoBEAs_014-21
Chisasibi,BeaverRiver,S15,Trout,02-04-2021,432,53.394853,-78.944386,Source,safoBEAs_015-21
Chisasibi,BeaverRiver,S16,Trout,02-04-2021,368,53.394853,-78.944386,Source,safoBEAs_016-21
Chisasibi,BeaverRiver,S17,Trout,02-04-2021,305,53.394853,-78.944386,Source,safoBEAs_017-21
Chisasibi,BeaverRiver,S18,Trout,02-04-2021,419,53.394853,-78.944386,Source,safoBEAs_018-21
Chisasibi,BeaverRiver,S19,Trout,02-04-2021,406,53.394853,-78.944386,Source,safoBEAs_019-21
Chisasibi,BeaverRiver,S20,Trout,02-04-2021,406,53.394853,-78.944386,Source,safoBEAs_020-21
Chisasibi,BeaverRiver,S21,Trout,02-04-2021,508,53.394853,-78.944386,Source,safoBEAs_021-21
Chisasibi,BeaverRiver,S22,Trout,02-04-2021,432,53.394853,-78.944386,Source,safoBEAs_022-21
Chisasibi,BeaverRiver,S23,Trout,02-04-2021,445,53.394853,-78.944386,Source,safoBEAs_023-21
Chisasibi,BeaverRiver,S24,Trout,02-04-2021,445,53.394853,-78.944386,Source,safoBEAs_024-21
Chisasibi,BeaverRiver,S25,Trout,02-04-2021,381,53.394853,-78.944386,Source,safoBEAs_025-21
Chisasibi,BeaverRiver,S26,Trout,02-04-2021,483,53.394853,-78.944386,Source,safoBEAs_026-21
Chisasibi,BeaverRiver,S27,Trout,02-04-2021,457,53.394853,-78.944386,Source,safoBEAs_027-21
Chisasibi,BeaverRiver,S28,Trout,02-04-2021,419,53.394853,-78.944386,Source,safoBEAs_028-21
Chisasibi,BeaverRiver,S29,Trout,02-04-2021,457,53.394853,-78.944386,Source,safoBEAs_029-21
Chisasibi,BeaverRiver,S30,Trout,02-04-2021,381,53.394853,-78.944386,Source,safoBEAs_030-21
Chisasibi,BeaverRiver,S31,Trout,02-04-2021,318,53.394853,-78.944386,Source,safoBEAs_031-21
Chisasibi,BeaverRiver,S32,Trout,02-04-2021,356,53.394853,-78.944386,Source,safoBEAs_032-21
Chisasibi,BeaverRiver,S33,Trout,02-04-2021,483,53.394853,-78.944386,Source,safoBEAs_033-21
Chisasibi,BeaverRiver,S34,Trout,02-04-2021,495,53.394853,-78.944386,Source,safoBEAs_034-21
Chisasibi,BeaverRiver,S35,Trout,02-04-2021,356,53.394853,-78.944386,Source,safoBEAs_035-21
Chisasibi,BeaverRiver,S36,Trout,02-04-2021,470,53.394853,-78.944386,Source,safoBEAs_036-21
Chisasibi,BeaverRiver,S37,Trout,02-04-2021,406,53.394853,-78.944386,Source,safoBEAs_037-21
Chisasibi,BeaverRiver,S38,Trout,02-04-2021,457,53.394853,-78.944386,Source,safoBEAs_038-21
Chisasibi,BeaverRiver,S39,Trout,02-04-2021,508,53.394853,-78.944386,Source,safoBEAs_039-21
Chisasibi,BeaverRiver,S40,Trout,03-04-2021,406,53.394853,-78.944386,Source,safoBEAs_040-21
Eastmain,EastmainRiver,M1,Cisco,22-07-2020,331,52.288,-78.565933,Mixed,coarEASm_001-20
Eastmain,EastmainRiver,M2,Cisco,22-07-2020,273,52.288,-78.565933,Mixed,coarEASm_002-20
Eastmain,EastmainRiver,M3,Cisco,22-07-2020,297,52.288,-78.565933,Mixed,coarEASm_003-20
Eastmain,EastmainRiver,M4,Cisco,22-07-2020,317,52.288,-78.565933,Mixed,coarEASm_004-20
Eastmain,EastmainRiver,M5,Cisco,22-07-2020,310,52.288,-78.565933,Mixed,coarEASm_005-20
Eastmain,EastmainRiver,M21,Trout,09-07-2020,379,52.288,-78.565933,Mixed,safoEASm_021-20
Chisasibi,LaGrande,S22,Whitefish,20-10-2020,292,53.839,-78.947616,Source,coclLAGs_022-20
Chisasibi,LaGrande,S22,Whitefish,20-10-2020,292,53.839,-78.947616,Source,coclLAGs_022-20
Chisasibi,LaGrande,S22,Whitefish,20-10-2020,292,53.839,-78.947616,Source,coclLAGs_022-20
Chisasibi,LaGrande,S22,Whitefish,20-10-2020,292,53.839,-78.947616,Source,coclLAGs_022-20
Chisasibi,LaGrande,S23,Whitefish,20-10-2020,299,53.839,-78.947616,Source,coclLAGs_023-20
Chisasibi,LaGrande,S23,Whitefish,20-10-2020,299,53.839,-78.947616,Source,coclLAGs_023-20
Chisasibi,LaGrande,S23,Whitefish,20-10-2020,299,53.839,-78.947616,Source,coclLAGs_023-20
Chisasibi,LaGrande,S23,Whitefish,20-10-2020,299,53.839,-78.947616,Source,coclLAGs_023-20
Chisasibi,LaGrande,S24,Whitefish,20-10-2020,314,53.839,-78.947616,Source,coclLAGs_024-20
Chisasibi,LaGrande,S24,Whitefish,20-10-2020,314,53.839,-78.947616,Source,coclLAGs_024-20
Chisasibi,LaGrande,S24,Whitefish,20-10-2020,314,53.839,-78.947616,Source,coclLAGs_024-20
Chisasibi,LaGrande,S24,Whitefish,20-10-2020,314,53.839,-78.947616,Source,coclLAGs_024-20
Chisasibi,LaGrande,S25,Whitefish,20-10-2020,303,53.839,-78.947616,Source,coclLAGs_025-20
Chisasibi,LaGrande,S25,Whitefish,20-10-2020,303,53.839,-78.947616,Source,coclLAGs_025-20
Chisasibi,LaGrande,S25,Whitefish,20-10-2020,303,53.839,-78.947616,Source,coclLAGs_025-20
Chisasibi,LaGrande,S25,Whitefish,20-10-2020,303,53.839,-78.947616,Source,coclLAGs_025-20
Chisasibi,LaGrande,S26,Whitefish,20-10-2020,273,53.839,-78.947616,Source,coclLAGs_026-20
Chisasibi,LaGrande,S26,Whitefish,20-10-2020,273,53.839,-78.947616,Source,coclLAGs_026-20
