sample	GenotypeRate	Heterozygosity	conScore
1	coarBEAs.1951.21	0.89937106918239	0.00419287211740042	0
2	coarBEAs.1952.21	0.907756813417191	0.0125786163522013	0
3	coarBEAs.1953.21	0.918238993710692	0.00628930817610063	0
4	coarBEAs.1954.21	0.907756813417191	0.010482180293501	0.2
5	coarBEAs.1955.21	0.905660377358491	0.00628930817610063	0
6	coarBEAs.1956.21	0.907756813417191	0.0125786163522013	0.166666666666667
7	coarBEAs.1957.21	0.878406708595388	0.00419287211740042	0
8	coarBEAs.1958.21	0.882599580712788	0.00628930817610063	0
9	coarBEAs.1959.21	0.911949685534591	0.00419287211740042	0
10	coarBEAs.1960.21	0.870020964360587	0.010482180293501	0
11	coarBEAs.1961.21	0.895178197064989	0.00419287211740042	0
12	coarBEAs.1962.21	0.882599580712788	0.00838574423480084	0
13	coarBEAs.1963.21	0.90356394129979	0.010482180293501	0
14	coarBEAs.1964.21	0.920335429769392	0.0125786163522013	0
15	coarBEAs.1965.21	0.922431865828092	0.00838574423480084	0
16	coarBEAs.1966.21	0.893081761006289	0.00419287211740042	0
17	coarBEAs.1967.21	0.884696016771488	0.010482180293501	0
18	coarBEAs.1968.21	0.890985324947589	0.00628930817610063	0
19	coarBEAs.1969.21	0.907756813417191	0.010482180293501	0
20	coarBEAs.1970.21	0.895178197064989	0.00838574423480084	0
21	coarBEAs.1971.21	0.909853249475891	0.00838574423480084	0
22	coarBEAs.1972.21	0.876310272536688	0.00838574423480084	0
23	coarBEAs.1973.21	0.893081761006289	0.00838574423480084	0
24	coarBEAs.1974.21	0.857442348008386	0.00838574423480084	0
25	coarBEAs.1975.21	0.895178197064989	0.00838574423480084	0
26	coarBEAs.2026.21	0.916142557651992	0.00838574423480084	0
27	coarBEAs.2027.21	0.924528301886792	0.00628930817610063	0
28	coarBEAs.2028.21	0.905660377358491	0.00628930817610063	0.333333333333333
29	coarBEAs.2029.21	0.89727463312369	0.00838574423480084	0
30	coarBEAs.2030.21	0.89727463312369	0.00419287211740042	0
31	coarBEAs.2031.21	0.905660377358491	0.010482180293501	0.2
32	coarBEAs.2032.21	0.907756813417191	0.0125786163522013	0.333333333333333
33	coarBEAs.2033.21	0.90146750524109	0.00838574423480084	0
34	coarBEAs.2034.21	0.90356394129979	0.00628930817610063	0
35	coarBEAs.2035.21	0.90356394129979	0.00628930817610063	0
36	coarBEAs.2036.21	0.90356394129979	0.00419287211740042	0
37	coarBEAs.2037.21	0.907756813417191	0.00628930817610063	0.333333333333333
38	coarBEAs.2038.21	0.924528301886792	0.00628930817610063	0
