"mixture_collection" "indiv" "repunit" "collection" "PofZ" "log_likelihood" "z_score" "n_non_miss_loci" "n_miss_loci" "community" "river.name" "latitude" "longitude"
"1" "YapawtikwIsland" "coarCHIm_2551_21" "V2" "V2" 1 -333.983987386065 1.3104053698925 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"2" "YapawtikwIsland" "coarCHIm_2552_21" "V2" "V2" 1 -337.920151467563 0.86302092622455 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"3" "YapawtikwIsland" "coarCHIm_2553_21" "V1" "V1" 0.999806939465881 -430.367403207608 -4.3738655018134 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"4" "YapawtikwIsland" "coarCHIm_2554_21" "V1" "V1" 1 -384.546435632836 -0.170815862306235 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"5" "YapawtikwIsland" "coarCHIm_2555_21" "V1" "V1" 1 -378.667771823331 0.406753767272795 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"6" "YapawtikwIsland" "coarCHIm_2557_21" "V2" "V2" 1 -354.318400833825 -0.633144878071872 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"7" "YapawtikwIsland" "coarCHIm_2558_21" "V3" "V3" 1 -301.989657388481 0.0587690021692313 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"8" "YapawtikwIsland" "coarCHIm_2559_21" "V1" "V1" 1 -380.979530494229 0.156367960962395 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"9" "YapawtikwIsland" "coarCHIm_2560_21" "V1" "V1" 1 -398.894915980099 -1.35844936934342 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"10" "YapawtikwIsland" "coarCHIm_2561_21" "V1" "V1" 1 -380.762074802921 0.303933970627452 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"11" "YapawtikwIsland" "coarCHIm_2562_21" "V1" "V1" 1 -358.859302378199 2.18540448571889 409 1 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"12" "YapawtikwIsland" "coarCHIm_2563_21" "V2" "V2" 1 -342.574949374899 0.489286710800292 410 0 "Chisasibi" "YapawtikwIsland" 53.9083 -79.0684
"13" "JamesBay" "coarEASm_188_21" "V2" "V2" 1 -348.029798526456 -0.139144224505789 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"14" "JamesBay" "coarEASm_190_21" "V3" "V3" 1 -293.896500757795 0.781603807814254 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"15" "JamesBay" "coarEASm_191_21" "V2" "V2" 1 -346.643906951875 0.00143611730280532 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"16" "JamesBay" "coarEASm_192_21" "V2" "V2" 1 -345.089821303633 0.248916858321051 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"17" "JamesBay" "coarEASm_193_21" "V2" "V2" 1 -339.411802195489 0.79161829762891 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"18" "JamesBay" "coarEASm_194_21" "V2" "V2" 1 -366.772512175223 -1.82350088454998 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"19" "JamesBay" "coarEASm_195_21" "V2" "V2" 1 -365.729947918087 -1.81385130459079 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"20" "JamesBay" "coarEASm_196_21" "V2" "V2" 1 -349.617057164694 -0.183793453336667 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"21" "JamesBay" "coarEASm_197_21" "V2" "V2" 1 -343.30305410334 0.419694925960264 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"22" "JamesBay" "coarEASm_198_21" "V2" "V2" 1 -345.817431862682 0.179372305875832 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"23" "JamesBay" "coarEASm_199_21" "V2" "V2" 1 -351.305664385171 -0.42336332916638 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"24" "JamesBay" "coarEASm_200_21" "V2" "V2" 1 -334.205603403725 1.28922345249021 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"25" "JamesBay" "coarEASm_201_21" "V2" "V2" 1 -356.521033294817 -0.92360987408347 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"26" "JamesBay" "coarEASm_202_21" "V2" "V2" 1 -336.396296549369 0.626002374237759 405 5 "Eastmain" "JamesBay" 52.395776 -78.585771
"27" "JamesBay" "coarEASm_203_21" "V2" "V2" 1 -351.479277110596 -0.748027194624541 406 4 "Eastmain" "JamesBay" 52.395776 -78.585771
"28" "JamesBay" "coarEASm_204_21" "V2" "V2" 1 -337.487049587777 0.975584922365863 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"29" "JamesBay" "coarEASm_205_21" "V2" "V2" 1 -347.259676377086 -0.162535440867752 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"30" "JamesBay" "coarEASm_206_21" "V2" "V2" 1 -349.818337219909 -0.767139700624838 404 6 "Eastmain" "JamesBay" 52.395776 -78.585771
"31" "JamesBay" "coarEASm_207_21" "V2" "V2" 1 -339.824364832432 0.474256402466877 407 3 "Eastmain" "JamesBay" 52.395776 -78.585771
"32" "JamesBay" "coarEASm_208_21" "V2" "V2" 1 -336.735602289118 0.947804887355298 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"33" "JamesBay" "coarEASm_209_21" "V2" "V2" 1 -341.678628553108 0.40872202521542 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"34" "JamesBay" "coarEASm_210_21" "V2" "V2" 1 -334.765509282548 0.680298097048051 404 6 "Eastmain" "JamesBay" 52.395776 -78.585771
"35" "JamesBay" "coarEASm_211_21" "V3" "V3" 1 -294.928503620627 0.689431170755397 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"36" "JamesBay" "coarEASm_212_21" "V2" "V2" 1 -345.817431862682 0.179372305875832 410 0 "Eastmain" "JamesBay" 52.395776 -78.585771
"37" "JamesBay" "coarEASm_213_21" "V2" "V2" 1 -346.613748578414 0.0220329052785037 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"38" "JamesBay" "coarEASm_214_21" "V2" "V2" 1 -366.331808949631 -1.97253009811373 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"39" "JamesBay" "coarEASm_215_21" "V3" "V3" 1 -318.845982299973 -1.91056162449244 404 6 "Eastmain" "JamesBay" 52.395776 -78.585771
"40" "JamesBay" "coarEASm_216_21" "V3" "V3" 1 -304.862381525476 -0.38432208801407 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"41" "JamesBay" "coarEASm_217_21" "V3" "V3" 1 -293.992630663419 0.41368996728937 406 4 "Eastmain" "JamesBay" 52.395776 -78.585771
"42" "JamesBay" "coarEASm_218_21" "V2" "V2" 1 -345.808977768648 0.0817182896090616 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"43" "JamesBay" "coarEASm_219_21" "V2" "V2" 1 -324.227036047132 2.10672605855395 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"44" "JamesBay" "coarEASm_220_21" "V2" "V2" 1 -356.198939644761 -1.38695706280874 404 6 "Eastmain" "JamesBay" 52.395776 -78.585771
"45" "JamesBay" "coarEASm_221_21" "V3" "V3" 1 -305.093498643803 -0.418491055722953 408 2 "Eastmain" "JamesBay" 52.395776 -78.585771
"46" "JamesBay" "coarEASm_222_21" "V3" "V3" 1 -301.122084661056 0.0506762704714504 409 1 "Eastmain" "JamesBay" 52.395776 -78.585771
"47" "JamesBay" "coarEASm_223_21" "V3" "V3" 1 -300.538297212298 -0.0350793748926052 407 3 "Eastmain" "JamesBay" 52.395776 -78.585771
