Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Chr01_3974237	67361	65478	0.97
Chr01_6977392	137916	22402	0.16
Chr01_7455935	54470	40232	0.74
Chr01_15634890	80988	76990	0.95
Chr01_21861327	133380	53012	0.40
Chr01_22362758	36667	16881	0.46
Chr01_23872539	87993	85245	0.97
Chr01_26837770	43647	42648	0.98
Chr01_27682239	120646	111933	0.93
Chr01_30937190	6972	6765	0.97
Chr01_65290578	559354	157758	0.28
Chr01_66391001	59898	57400	0.96
Chr01_67503042	56230	51773	0.92
Chr01_71494462	38990	34675	0.89
Chr01_73903186	203709	64518	0.32
Chr01_74110163	8391	7129	0.85
Chr01_74343716	112969	92308	0.82
Chr01_74637349	26430	25907	0.98
Chr01_77245318	96189	93668	0.97
Chr01_78644798	51200	47372	0.93
Chr01_84939546	40918	37023	0.90
Chr01_85737187	39438	35661	0.90
Chr02_1245938	102926	66656	0.65
Chr02_22600099	81235	67343	0.83
Chr02_23367794	28809	25102	0.87
Chr02_25698291	192770	176390	0.92
Chr02_26815979	39340	29946	0.76
Chr02_27151762	47304	41622	0.88
Chr02_29372310	46767	45905	0.98
Chr02_31616029	67434	63742	0.95
Chr02_33112891	49836	46816	0.94
Chr02_34251227	102960	98601	0.96
Chr02_37675129	64046	62798	0.98
Chr02_39091857	60151	58896	0.98
Chr02_42164121	40210	39196	0.97
Chr03_1390273	63987	58902	0.92
Chr03_5098602	28179	26926	0.96
Chr03_6018960	72121	57501	0.80
Chr03_6940404	66537	44104	0.66
Chr03_7323793	103286	55601	0.54
Chr03_17792770	52344	49023	0.94
Chr03_25928523	37693	33729	0.89
Chr03_27807657	33020	27559	0.83
Chr03_29101258	40284	39418	0.98
Chr03_42565635	119389	102029	0.85
Chr03_42955675	79815	57335	0.72
Chr04_22797812	96763	69708	0.72
Chr04_23994442	12140	11390	0.94
Chr04_27645457	26708	22065	0.83
Chr04_39446227	44708	42412	0.95
Chr04_39741678	81969	435	0.01
Chr04_40243892	791828	67259	0.08
Chr04_45745786	312392	51487	0.16
Chr04_48718633	53228	47758	0.90
Chr04_63534837	31381	24593	0.78
Chr04_64169975	30142	29049	0.96
Chr04_68213224	103094	35832	0.35
Chr04_70900499	32639	31735	0.97
Chr05_2707356	191735	129752	0.68
Chr05_5693736	73697	72421	0.98
Chr05_9104213	85343	81750	0.96
Chr05_10204664	47735	43530	0.91
Chr05_11571202	70202	61259	0.87
Chr05_12065615	55158	53545	0.97
Chr05_23279977	66353	62418	0.94
Chr05_30927772	190535	137176	0.72
Chr05_43425273	383226	53636	0.14
Chr06_9728563	22624	21310	0.94
Chr06_21271679	143501	56467	0.39
Chr06_22521892	83493	80833	0.97
Chr06_22835923	106204	80659	0.76
Chr06_24761124	67211	63683	0.95
Chr06_25068898	80567	78391	0.97
Chr06_42333945	58256	45163	0.78
Chr06_44811138	88878	84787	0.95
Chr06_49014635	38171	33949	0.89
Chr07_43365222	259287	57332	0.22
Chr07_62200340	134887	92443	0.69
Chr07_63664141	48723	33835	0.69
Chr07_68252347	43995	42357	0.96
Chr07_79848274	68053	10339	0.15
Chr07_80781531	54328	49681	0.91
Chr08_5113405	193073	187289	0.97
Chr08_13688082	60479	56088	0.93
Chr08_15609788	22395	21476	0.96
Chr08_17927229	19141	11995	0.63
Chr08_19040579	40177	38816	0.97
Chr08_23644472	62788	58077	0.92
Chr08_29494203	67186	65106	0.97
Chr08_30651487	87175	17158	0.20
Chr08_33607508	51263	47759	0.93
Chr08_39704911	121686	116588	0.96
Chr08_41215885	90360	72587	0.80
Chr08_44108026	82644	64503	0.78
Chr08_44765895	62594	60207	0.96
Chr08_50989831	39418	32757	0.83
Chr08_63399986	80137	56196	0.70
Chr08_67325385	17280	8901	0.52
Chr09_2310552	106142	99144	0.93
Chr09_5547616	34712	32323	0.93
Chr09_19115463	109411	88853	0.81
Chr09_20305833	72449	69371	0.96
Chr09_23970688	106675	90853	0.85
Chr09_24321466	102198	97298	0.95
Chr09_25079169	114103	108389	0.95
Chr09_28576624	98943	75773	0.77
Chr09_34476161	60264	58827	0.98
Chr09_35241516	46193	37567	0.81
Chr09_40715570	78503	54363	0.69
Chr09_43828405	51526	33166	0.64
Chr09_44990149	17747	17234	0.97
Chr09_46030982	40656	39877	0.98
Chr09_49018823	892177	12102	0.01
Chr10_10969543	469085	115583	0.25
Chr10_11467793	32703	31646	0.97
Chr10_12028677	38880	36232	0.93
Chr10_13217809	37390	36146	0.97
Chr10_13784304	210365	116870	0.56
Chr10_15632894	80111	69967	0.87
Chr10_20052212	127576	108734	0.85
Chr10_24068398	83375	35762	0.43
Chr10_24434924	50752	47645	0.94
Chr10_29761726	15953	12587	0.79
Chr10_31524150	14053	13675	0.97
Chr10_33854191	103890	99894	0.96
Chr10_34139422	87292	78739	0.90
Chr10_34728281	28358	27758	0.98
Chr10_37934543	60248	45554	0.76
Chr10_38207766	134335	17124	0.13
Chr10_47684575	40610	38248	0.94
Chr10_48165204	58740	46983	0.80
Chr10_50195806	135069	23579	0.17
Chr10_53635221	55427	43519	0.79
Chr10_55582302	91712	90082	0.98
Chr10_57768038	65594	61534	0.94
Chr11_4808734	21835	20601	0.94
Chr11_6005967	71163	64339	0.90
Chr11_9892391	32177	30795	0.96
Chr11_14575187	252208	38728	0.15
Chr11_16256523	95263	91479	0.96
Chr11_19410950	91702	89285	0.97
Chr11_21975908	56507	11526	0.20
Chr11_25314433	197730	104416	0.53
Chr11_25853053	27010	26201	0.97
Chr11_26059179	74751	70866	0.95
Chr11_26375246	55214	50707	0.92
Chr11_34405625	65961	63064	0.96
Chr11_34900173	8155	7774	0.95
Chr11_35368016	24192	21633	0.89
Chr11_37274731	36533	35296	0.97
Chr11_40923656	8911	8190	0.92
Chr11_41169966	35912	33783	0.94
Chr11_42155767	79362	58729	0.74
Chr11_54340912	96667	41065	0.42
Chr11_54595863	38373	35492	0.92
Chr11_58777592	196916	89764	0.46
Chr11_62050851	28048	27067	0.97
Chr11_66590731	144349	130046	0.90
Chr12_9465449	24393	23696	0.97
Chr12_10002370	59211	56058	0.95
Chr12_17763175	132543	45747	0.35
Chr12_19839812	41981	35232	0.84
Chr12_20232115	55495	54036	0.97
Chr12_20600822	105277	102246	0.97
Chr12_22489000	131087	31143	0.24
Chr12_23931788	110110	103761	0.94
Chr12_24279586	76571	74366	0.97
Chr12_26271936	42062	40886	0.97
Chr12_26499880	80264	63349	0.79
Chr12_26739520	23772	16791	0.71
Chr12_30718988	36372	31148	0.86
Chr12_30953417	27034	26182	0.97
Chr12_31951328	76432	72602	0.95
Chr12_32178946	73961	46970	0.64
Chr12_35793189	61971	60444	0.98
Chr12_36542266	39709	38644	0.97
Chr12_38431201	16021	15388	0.96
Chr12_39988982	25396	17623	0.69
Chr12_40251138	87851	80639	0.92
Chr12_43421141	25321	24592	0.97
Chr12_44685261	35937	35093	0.98
Chr12_45773480	57361	53297	0.93
Chr12_46032877	139122	133609	0.96
Chr12_47698455	159288	153895	0.97
Chr12_51683570	163012	118931	0.73
Chr12_55552286	60998	58535	0.96
Chr12_56934144	568791	143740	0.25
Chr13_15740135	82475	46466	0.56
Chr13_17117492	103664	96819	0.93
Chr13_18072023	142861	93986	0.66
Chr13_19159192	87901	81597	0.93
Chr13_21583856	66575	64668	0.97
Chr13_27696803	26292	23698	0.90
Chr13_37562167	82835	80732	0.97
Chr13_48141416	27513	24470	0.89
Chr13_50573217	55822	53093	0.95
Chr13_51226681	27247	25944	0.95
Chr13_54760358	40799	27993	0.69
Chr13_62842338	117609	101504	0.86
Chr14_5727014	104912	47762	0.46
Chr14_6038135	160388	139243	0.87
Chr14_6645558	36562	32513	0.89
Chr14_9710508	15195	10908	0.72
Chr14_17593388	34297	32459	0.95
Chr14_17895466	69940	68665	0.98
Chr14_19212110	107167	95031	0.89
Chr14_22202247	41625	39928	0.96
Chr14_35760412	65592	64124	0.98
Chr14_36941644	74536	68451	0.92
Chr14_39260400	104681	97774	0.93
Chr15_2658355	40693	39600	0.97
Chr15_15335664	73019	71191	0.97
Chr15_18714348	28278	26291	0.93
Chr15_33480693	143886	130226	0.91
Chr15_40801902	84646	81155	0.96
Chr15_41077598	43726	37994	0.87
Chr15_45611013	70794	61492	0.87
Chr15_51194110	36216	35114	0.97
Chr15_56807763	61891	58991	0.95
Chr15_58091619	34437	33540	0.97
Chr15_60082660	21271	20433	0.96
Chr15_62189369	56622	52779	0.93
Chr15_63727046	26469	25755	0.97
Chr15_65271748	38793	37738	0.97
Chr15_65816046	65127	63216	0.97
Chr16_7825058	61401	54652	0.89
Chr16_9827952	29978	29097	0.97
Chr16_11872810	30614	27244	0.89
Chr16_12721060	148072	45616	0.31
Chr16_19622664	72978	70641	0.97
Chr16_33163917	63050	28157	0.45
Chr16_37057933	67894	66010	0.97
Chr16_42588151	114940	112097	0.98
Chr16_45482735	75521	67700	0.90
Chr16_51845600	50740	37361	0.74
Chr16_52935253	112650	108261	0.96
Chr16_54540948	97628	93768	0.96
Chr16_55068270	96646	91733	0.95
Chr16_55430614	123351	86860	0.70
Chr17_18884171	165344	25659	0.16
Chr17_19161256	54834	47829	0.87
Chr17_20183582	191095	42025	0.22
Chr17_22585247	123486	20604	0.17
Chr17_31292165	279065	107596	0.39
Chr17_38359657	63958	54394	0.85
Chr17_43925199	19040	12147	0.64
Chr17_45858320	36498	34665	0.95
Chr17_46315289	40018	37239	0.93
Chr17_46775070	30066	27111	0.90
Chr17_51164060	88989	66923	0.75
Chr17_54711071	85641	79194	0.92
Chr17_56672727	114611	100562	0.88
Chr17_63426373	21233	20736	0.98
Chr17_65442996	77357	70005	0.90
Chr17_68360881	31232	30078	0.96
Chr17_73023129	33247	24243	0.73
Chr18_6112228	48915	34721	0.71
Chr18_7088678	55179	53329	0.97
Chr18_7963238	83822	43822	0.52
Chr18_9793504	92364	89530	0.97
Chr18_21227207	24704	22302	0.90
Chr18_25637604	60191	57323	0.95
Chr18_38249895	25609	20242	0.79
Chr18_45271975	30253	25784	0.85
Chr18_48390332	18245	14519	0.80
Chr18_54279436	15983	14601	0.91
Chr19_7810123	20039	19465	0.97
Chr19_10756556	38162	35462	0.93
